,ML,loss,Input Num,Input,MAPE train(%),MAPE val(%),MAPE test(%),Leave One
1748,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_core', 'gpu_boost_clock(GHz)']",2.8665,3.305,5.13051,13th corei5 - RTX3050
1749,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_core', 'gpu_boost_clock(GHz)']",2.72583,3.39658,21.26851,1th Xeon Gold - GTX1080
1750,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_core', 'gpu_boost_clock(GHz)']",2.69369,3.28354,22.5462,9th corei7 - RTX2080 Ti
1751,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_core', 'gpu_boost_clock(GHz)']",2.62926,3.14067,17.37714,13th corei7 - RTX4070
1752,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_core', 'VRAM(GB)']",2.71302,3.23458,15.79967,13th corei5 - RTX3060 Ti
1753,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_core', 'VRAM(GB)']",2.77728,3.38184,20.40517,13th corei7 - GTX1080
1754,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_core', 'VRAM(GB)']",2.84968,3.54747,33.9031,13th corei5 - GTX1650
1755,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_core', 'VRAM(GB)']",2.53,3.15998,24.83269,1th Xeon Gold - RTX4070
1756,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_core', 'VRAM(GB)']",2.85044,3.63908,9.18774,13th corei7 - RTX3050
1757,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_core', 'VRAM(GB)']",2.52158,3.32379,16.19436,13th corei5 - GTX1080
1758,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_core', 'VRAM(GB)']",2.49799,3.20451,26.17962,13th corei5 - RTX4070
1759,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_core', 'VRAM(GB)']",2.51456,3.06824,7.95285,13th corei7 - RTX3060 Ti
1760,lgb,l2(rmse),6,"['Total Frames', 'Params', 'cpu_thread', 'gpu_architecture', 'gpu_core', 'VRAM(GB)']",2.81326,3.40194,4.38041,13th corei5 - RTX3050
